               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11725,            0.059309,            0.030822,            0.048983,            0.027778,            0.010116,           0.0024664,             0.11275,            0.032253,            0.032578,             0.00024,             0.00024,             0.09784
                   1,             0.10893,            0.057105,            0.028546,            0.095438,            0.032407,            0.020468,           0.0051615,               0.106,            0.032788,            0.030247,          0.00048989,          0.00048989,             0.09559
                   2,             0.10087,            0.067312,            0.025262,            0.059699,             0.10648,            0.040689,            0.010977,            0.098853,            0.033088,            0.027094,          0.00073934,          0.00073934,            0.093339
                   3,            0.093388,            0.059843,            0.021492,             0.10656,             0.19444,            0.090558,            0.020193,             0.08801,            0.033634,            0.022756,          0.00098802,          0.00098802,            0.091088
                   4,            0.087072,            0.057257,            0.017264,             0.14129,             0.18056,              0.1285,            0.029034,            0.079767,             0.03305,            0.017788,           0.0012356,           0.0012356,            0.088836
                   5,            0.080151,            0.062679,            0.012211,             0.20623,              0.1755,             0.17811,            0.043233,            0.072282,            0.031331,            0.014621,           0.0014817,           0.0014817,            0.086582
                   6,            0.075441,            0.050791,           0.0090219,             0.19864,               0.462,             0.18178,            0.045816,            0.069088,             0.02925,            0.013138,           0.0017261,           0.0017261,            0.084326
                   7,            0.078131,            0.050365,           0.0078427,             0.34062,              0.4788,             0.23096,            0.054986,             0.06792,            0.027142,            0.012066,           0.0019684,           0.0019684,            0.082068
                   8,            0.072107,            0.047248,           0.0067517,             0.24888,             0.56103,             0.31558,             0.10351,            0.063717,            0.025338,            0.011481,           0.0022083,           0.0022083,            0.079808
                   9,            0.071853,            0.042756,           0.0069088,             0.50933,             0.60258,             0.46673,             0.16803,            0.063593,             0.02457,            0.010132,           0.0024455,           0.0024455,            0.077546
                  10,            0.075872,            0.043495,           0.0053971,             0.58632,             0.58406,              0.5325,             0.21371,            0.059917,            0.023482,           0.0091678,           0.0026797,           0.0026797,             0.07528
                  11,            0.070054,            0.040616,           0.0045737,              0.5333,             0.65687,              0.5333,              0.1759,            0.061149,            0.022173,           0.0085447,           0.0029105,           0.0029105,             0.07301
                  12,            0.078383,            0.037982,           0.0054341,             0.24963,             0.61184,             0.32944,            0.090861,            0.062417,            0.021813,           0.0074902,           0.0031376,           0.0031376,            0.070738
                  13,            0.069654,             0.03623,           0.0047995,             0.41627,             0.56092,             0.43622,             0.14368,            0.058838,            0.021374,           0.0062694,           0.0033608,           0.0033608,            0.068461
                  14,            0.071249,            0.035633,           0.0039648,             0.25104,             0.66027,             0.29289,            0.085437,            0.070285,            0.019322,           0.0056111,           0.0035798,           0.0035798,             0.06618
                  15,            0.077761,            0.035848,            0.003666,             0.55976,             0.35531,             0.38165,            0.072246,            0.069741,             0.01869,           0.0051515,           0.0037943,           0.0037943,            0.063894
                  16,            0.079513,            0.033649,           0.0033596,             0.33858,             0.53484,             0.35036,             0.10144,            0.073507,             0.01809,           0.0045716,            0.004004,            0.004004,            0.061604
                  17,            0.082157,            0.029702,           0.0033135,             0.46096,             0.39108,             0.38647,             0.10068,            0.071035,            0.017805,           0.0044994,           0.0042086,           0.0042086,            0.059309
                  18,             0.07803,            0.033132,           0.0034015,             0.42972,             0.62305,             0.43262,             0.14465,            0.066433,            0.019025,           0.0045099,            0.004408,            0.004408,            0.057008
                  19,            0.077426,            0.035404,           0.0031114,             0.50157,              0.6412,              0.5248,              0.1525,            0.061693,            0.018929,           0.0041394,           0.0046017,           0.0046017,            0.054702
                  20,            0.076806,            0.033295,           0.0030226,             0.56418,             0.59673,             0.56371,              0.1545,             0.06243,            0.018349,            0.004202,           0.0047897,           0.0047897,             0.05239
                  21,            0.074542,            0.032492,           0.0027554,             0.49184,             0.55394,             0.45279,             0.16703,            0.066417,            0.017497,           0.0038341,           0.0049716,           0.0049716,            0.050072
                  22,            0.074455,            0.034147,           0.0025162,             0.39853,             0.63085,             0.37937,            0.091015,            0.059473,            0.017572,           0.0037651,           0.0051472,           0.0051472,            0.047747
                  23,            0.066992,            0.031077,           0.0031287,             0.36079,             0.45443,             0.33308,            0.090814,            0.063737,            0.016868,            0.003574,           0.0053164,           0.0053164,            0.045416
                  24,            0.071433,            0.036023,           0.0024497,              0.4435,             0.57835,             0.45405,             0.11362,             0.05784,            0.017103,           0.0034341,           0.0054789,           0.0054789,            0.043079
                  25,            0.069272,            0.028331,           0.0029551,             0.42296,             0.58759,             0.50112,             0.18435,            0.060616,            0.016926,           0.0032233,           0.0056346,           0.0056346,            0.040735
                  26,            0.071273,            0.029143,           0.0026422,             0.46913,              0.4944,             0.44712,             0.15752,            0.064411,            0.016369,           0.0032237,           0.0057832,           0.0057832,            0.038383
                  27,            0.077355,            0.030983,           0.0030011,             0.50815,             0.62013,             0.59533,              0.2266,            0.057091,             0.01841,           0.0038486,           0.0059247,           0.0059247,            0.036025
                  28,            0.069975,            0.033168,           0.0035774,             0.59975,             0.68364,             0.58789,             0.20778,            0.052133,            0.018155,           0.0037548,           0.0060587,           0.0060587,            0.033659
                  29,            0.070458,             0.03275,           0.0030028,             0.53204,             0.55799,             0.50537,             0.12856,            0.059104,            0.016748,           0.0037185,           0.0061853,           0.0061853,            0.031285
                  30,            0.071317,            0.032878,           0.0026385,             0.58666,             0.52242,             0.56148,             0.15026,            0.058707,            0.016393,           0.0036229,           0.0063043,           0.0063043,            0.028904
                  31,            0.064199,            0.028053,           0.0030184,             0.63984,             0.65546,             0.59985,             0.20889,             0.05349,             0.01672,           0.0035359,           0.0064155,           0.0064155,            0.026515
                  32,            0.063335,            0.030784,           0.0026828,             0.64319,             0.71779,             0.75205,             0.39395,            0.049427,            0.016624,           0.0034666,           0.0065188,           0.0065188,            0.024119
                  33,            0.064919,            0.033339,           0.0024815,             0.49433,              0.6942,             0.54839,             0.13755,            0.051314,            0.016504,            0.003227,           0.0066143,           0.0066143,            0.021714
                  34,            0.072624,             0.03665,             0.00247,             0.44913,              0.5519,             0.45917,             0.13643,            0.056948,            0.016531,           0.0034458,           0.0067017,           0.0067017,            0.019302
                  35,            0.065884,            0.030548,           0.0028687,             0.56247,             0.66472,             0.59209,             0.22055,            0.055903,             0.01632,           0.0032225,           0.0067811,           0.0067811,            0.016881
                  36,            0.061531,            0.027593,           0.0023583,             0.57864,             0.60136,             0.58439,             0.20647,            0.057475,            0.016254,           0.0027907,           0.0068524,           0.0068524,            0.014452
                  37,            0.065387,             0.02952,           0.0022667,             0.60836,             0.57042,             0.61056,             0.23103,            0.052781,            0.016873,           0.0029301,           0.0069155,           0.0069155,            0.012016
                  38,            0.065306,            0.030825,           0.0026284,              0.4493,             0.51145,             0.52062,             0.18966,            0.057078,            0.017573,           0.0035677,           0.0069705,           0.0069705,           0.0095705
                  39,            0.061818,            0.030216,           0.0026661,             0.60769,             0.59966,             0.62608,             0.28113,            0.049639,            0.018076,           0.0038037,           0.0070173,           0.0070173,           0.0071173
                  40,            0.059861,            0.029804,           0.0029499,             0.45036,             0.47149,             0.46583,             0.15613,            0.055546,            0.017707,           0.0039434,           0.0068906,           0.0068906,           0.0068906
