               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10941,            0.028359,            0.038224,            0.037363,             0.07197,            0.013712,            0.002573,            0.092095,            0.026053,            0.034703,             0.00043,             0.00043,             0.09613
                   1,            0.079545,            0.028952,            0.030464,             0.55483,             0.44578,             0.29024,            0.079371,            0.056794,            0.028214,            0.028776,          0.00086981,          0.00086981,             0.09217
                   2,            0.058571,            0.027317,            0.022865,             0.31373,             0.68297,             0.45146,              0.1607,            0.057218,            0.017778,            0.018342,           0.0013088,           0.0013088,            0.088209
                   3,            0.060023,            0.017488,            0.015391,             0.38479,              0.7631,              0.4903,             0.17401,            0.073018,            0.014017,            0.013301,           0.0017465,           0.0017465,            0.084247
                   4,            0.063891,            0.015936,             0.01257,             0.44906,             0.65847,             0.50926,             0.21086,            0.061436,            0.013876,            0.011491,           0.0021822,           0.0021822,            0.080282
                   5,             0.05884,            0.015304,            0.009915,              0.6315,             0.81145,             0.76399,             0.32307,            0.052648,             0.01234,           0.0076824,           0.0026154,           0.0026154,            0.076315
                   6,            0.055096,            0.013889,           0.0074264,             0.68426,             0.78568,             0.76464,             0.41013,            0.041115,            0.011754,            0.006193,           0.0030455,           0.0030455,            0.072346
                   7,            0.053769,            0.012641,            0.006405,             0.59782,             0.86717,             0.76672,             0.38934,            0.049282,            0.010764,             0.00535,            0.003472,            0.003472,            0.068372
                   8,            0.050685,            0.011833,           0.0060415,             0.60612,             0.92627,              0.8234,             0.46952,              0.0436,            0.009893,           0.0042622,           0.0038942,           0.0038942,            0.064394
                   9,            0.049479,            0.011366,           0.0053242,             0.66374,             0.85345,             0.83331,             0.40351,            0.045441,           0.0094022,            0.003699,           0.0043116,           0.0043116,            0.060412
                  10,            0.045694,            0.010375,           0.0046743,             0.70158,             0.83917,             0.81292,             0.46869,            0.036643,           0.0087202,           0.0035484,           0.0047236,           0.0047236,            0.056424
                  11,            0.050426,           0.0099411,           0.0053656,             0.66213,             0.89482,             0.81231,              0.4635,            0.040557,           0.0085662,           0.0042873,           0.0051298,           0.0051298,             0.05243
                  12,            0.048987,            0.010559,           0.0048848,             0.68332,             0.83221,             0.81809,             0.42296,            0.040249,           0.0083939,           0.0034511,           0.0055296,           0.0055296,             0.04843
                  13,             0.04848,           0.0093307,           0.0045657,             0.63626,             0.90364,             0.80338,             0.49547,            0.037654,           0.0081022,           0.0033044,           0.0059224,           0.0059224,            0.044422
                  14,            0.046465,           0.0093022,           0.0040595,             0.81963,             0.92514,              0.9274,             0.61199,            0.033214,            0.007956,           0.0032805,           0.0063078,           0.0063078,            0.040408
                  15,            0.045172,           0.0090542,           0.0041443,             0.69629,             0.89999,             0.83378,             0.45847,            0.038831,           0.0075678,           0.0035598,           0.0066852,           0.0066852,            0.036385
                  16,            0.043826,           0.0087507,            0.004201,             0.77152,             0.93757,             0.90198,               0.565,            0.040134,           0.0072259,           0.0028457,           0.0070542,           0.0070542,            0.032354
                  17,             0.04108,           0.0083289,           0.0040465,              0.8188,             0.88752,             0.90097,              0.5986,            0.032872,           0.0071014,           0.0032211,           0.0074143,           0.0074143,            0.028314
                  18,            0.039993,           0.0086408,           0.0033406,             0.84854,             0.96442,             0.95394,             0.55506,            0.035779,           0.0071765,           0.0024375,           0.0077651,           0.0077651,            0.024265
                  19,            0.041679,             0.00826,           0.0035353,             0.85172,             0.96443,             0.93004,             0.67366,            0.033909,           0.0070868,           0.0033749,            0.008106,            0.008106,            0.020206
                  20,            0.040556,           0.0081759,           0.0040474,             0.73063,             0.91246,             0.86895,             0.51298,            0.037879,           0.0070563,           0.0029059,           0.0084368,           0.0084368,            0.016137
                  21,            0.042661,           0.0080155,           0.0035938,             0.86901,             0.94841,              0.9588,             0.62079,            0.039125,           0.0068137,           0.0026175,           0.0087569,           0.0087569,            0.012057
                  22,            0.039171,           0.0081166,           0.0033659,             0.84199,             0.96643,              0.9295,             0.61672,              0.0325,           0.0070698,           0.0023509,           0.0089673,           0.0089673,           0.0089673
                  23,            0.041894,           0.0082263,           0.0031182,             0.84851,             0.97379,             0.93923,             0.55369,            0.034555,           0.0068707,           0.0020435,           0.0089673,           0.0089673,           0.0089673
                  24,            0.038175,           0.0080445,           0.0029831,             0.85957,             0.94114,             0.94671,             0.69984,            0.027468,           0.0069983,           0.0020179,           0.0088755,           0.0088755,           0.0088755
                  25,            0.036874,           0.0077598,           0.0028632,             0.87031,             0.97592,               0.963,             0.68963,            0.033569,           0.0065504,           0.0022535,           0.0087804,           0.0087804,           0.0087804
                  26,            0.033312,           0.0076827,           0.0030574,             0.92691,             0.93367,             0.96935,             0.65027,             0.02855,           0.0062095,            0.002186,            0.008682,            0.008682,            0.008682
                  27,            0.031658,           0.0071321,           0.0025836,             0.86539,             0.96389,             0.96203,             0.73872,            0.027306,           0.0063941,           0.0024297,           0.0085805,           0.0085805,           0.0085805
                  28,            0.033439,           0.0075389,           0.0028896,              0.8498,             0.95971,             0.93928,             0.69597,            0.023448,           0.0064491,           0.0032429,           0.0084759,           0.0084759,           0.0084759
