               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11601,            0.024445,             0.03753,           0.0027138,            0.010101,           0.0010368,          0.00020404,            0.096937,             0.02356,            0.033379,             0.00043,             0.00043,             0.09613
                   1,            0.084762,            0.025901,            0.031099,            0.093385,             0.15025,            0.090399,            0.022833,            0.061591,            0.026158,            0.031346,          0.00086981,          0.00086981,             0.09217
                   2,            0.060165,            0.026003,            0.027573,             0.88919,             0.21591,             0.30221,             0.11864,            0.050372,            0.019451,            0.025891,           0.0013088,           0.0013088,            0.088209
                   3,            0.057904,            0.019596,            0.021923,             0.13631,             0.47671,             0.16486,            0.036622,            0.065672,            0.015839,            0.020317,           0.0017465,           0.0017465,            0.084247
                   4,            0.063596,            0.017258,            0.017982,             0.42345,             0.79158,             0.58952,             0.23824,            0.052386,            0.015917,              0.0156,           0.0021822,           0.0021822,            0.080282
                   5,             0.05818,            0.016669,            0.013024,             0.54946,             0.78503,             0.62232,             0.19598,            0.058529,            0.013217,            0.011288,           0.0026154,           0.0026154,            0.076315
                   6,            0.056351,            0.014742,           0.0099999,             0.54908,             0.70593,             0.60274,             0.17972,            0.053867,            0.012319,            0.010078,           0.0030455,           0.0030455,            0.072346
                   7,            0.055192,            0.013274,           0.0084637,             0.74726,             0.87291,             0.88986,             0.36765,            0.041689,            0.011541,           0.0073179,            0.003472,            0.003472,            0.068372
                   8,            0.052034,            0.012443,           0.0071737,             0.62378,             0.89308,             0.76659,             0.36756,            0.046602,            0.010465,           0.0055754,           0.0038942,           0.0038942,            0.064394
                   9,            0.048917,            0.011636,           0.0061638,             0.70458,             0.83193,             0.80426,              0.3701,            0.041606,            0.010206,           0.0049536,           0.0043116,           0.0043116,            0.060412
                  10,            0.047866,            0.011032,           0.0053163,             0.72064,             0.91939,             0.87843,             0.49642,            0.042794,           0.0092135,           0.0040803,           0.0047236,           0.0047236,            0.056424
                  11,            0.050375,            0.010616,           0.0058692,             0.63482,             0.70838,             0.71578,             0.25086,            0.051655,           0.0089506,           0.0046534,           0.0051298,           0.0051298,             0.05243
                  12,            0.050632,            0.010816,           0.0053572,              0.6793,              0.8447,              0.7877,             0.36717,            0.040798,             0.00888,           0.0037088,           0.0055296,           0.0055296,             0.04843
