               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11887,            0.026949,            0.039626,           0.0018546,           0.0075758,          0.00032165,          7.9252e-05,             0.10246,            0.023633,            0.036301,             0.00043,             0.00043,             0.09613
                   1,            0.093079,            0.025897,            0.032893,            0.055569,            0.099747,            0.037066,            0.010012,            0.068186,            0.026257,            0.032095,          0.00086981,          0.00086981,             0.09217
                   2,            0.065954,            0.027525,            0.029556,             0.11934,             0.38821,             0.14484,             0.03867,             0.06033,            0.019817,            0.028861,           0.0013088,           0.0013088,            0.088209
                   3,            0.060287,            0.020775,            0.024694,             0.23411,             0.63482,             0.27451,            0.077431,            0.068131,            0.016463,            0.023336,           0.0017465,           0.0017465,            0.084247
                   4,            0.062569,            0.018492,            0.021475,             0.35201,             0.71989,              0.4435,             0.17989,            0.056624,            0.016442,            0.020799,           0.0021822,           0.0021822,            0.080282
                   5,            0.059467,            0.018224,            0.018627,             0.35766,              0.7331,             0.49186,              0.1401,            0.051788,             0.01481,            0.017316,           0.0026154,           0.0026154,            0.076315
                   6,            0.056294,            0.016331,            0.014638,             0.65757,             0.81112,             0.79099,             0.35994,            0.041814,            0.014231,            0.012945,           0.0030455,           0.0030455,            0.072346
                   7,            0.054782,            0.014881,            0.011292,             0.54183,              0.8036,             0.64382,              0.2527,            0.048598,            0.012332,           0.0098957,            0.003472,            0.003472,            0.068372
                   8,            0.053746,             0.01372,            0.009227,             0.58467,             0.82882,             0.73841,             0.35811,            0.045305,            0.011735,           0.0070669,           0.0038942,           0.0038942,            0.064394
                   9,            0.051287,            0.012877,           0.0070433,             0.53554,             0.79674,             0.68671,             0.29092,            0.046588,            0.010573,           0.0053612,           0.0043116,           0.0043116,            0.060412
                  10,            0.049249,            0.012288,           0.0059703,             0.61411,              0.7531,             0.71998,              0.3466,            0.046738,            0.010166,           0.0041192,           0.0047236,           0.0047236,            0.056424
